RptDt;TckrSymb;UpdActn;IntrstRateTermTrad;TradQty;NtryTm;TradId;TradgSsnId;TradDt;Mkt
2021-04-22;EGIE3;0;0,830;24543;102531741;28752841;1;2021-04-22;91
2021-04-22;VIVT3;0;1,150;100;102531772;28752851;1;2021-04-22;91
2021-04-22;ENBR3;0;0,270;100;102531835;28752848;1;2021-04-22;91
2021-04-22;CCRO3;0;4,080;2900;102531960;28752852;1;2021-04-22;91
2021-04-22;GOLL4;0;8,350;100;102532038;28752846;1;2021-04-22;91
2021-04-22;ECOR3;0;0,320;12700;102532085;28752825;1;2021-04-22;91
2021-04-22;EGIE3;0;0,830;3557;102532163;28752827;1;2021-04-22;91
2021-04-22;COGN3;0;0,790;128100;102532241;28752824;1;2021-04-22;91
2021-04-22;GOLL4;0;8,350;15300;102532304;28752847;1;2021-04-22;91
2021-04-22;ENBR3;0;0,270;9500;102532366;28752850;1;2021-04-22;91
2021-04-22;CCRO3;0;4,080;60000;102532444;28752853;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;60132;102533179;28752972;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;200;102533226;28752975;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;2000;102533257;28752968;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;9129;102533288;28752974;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;1000;102533319;28752970;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;4688;102534210;28752976;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;2000;102534226;28752969;1;2021-04-22;91
2021-04-22;GOLL4;0;8,350;700;102643012;28752960;1;2021-04-22;91
2021-04-22;BBDC4;0;1,500;760000;102650075;28749931;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;566;102650232;28750386;1;2021-04-22;91
2021-04-22;BBSE3;0;0,310;588;102714702;28752980;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;281;102717594;28752988;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;3529;102720798;28752984;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;4700;102720829;28752986;1;2021-04-22;91
2021-04-22;BBSE3;0;0,310;90;102720860;28752981;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;1595;102720954;28752985;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;1670;102721016;28752987;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;874;102721032;28752982;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;1748;102721063;28752983;1;2021-04-22;91
2021-04-22;ESPA3;0;8,290;100;102723798;28752989;1;2021-04-22;92
2021-04-22;ABEV3;0;0,050;108600;102802879;28752991;1;2021-04-22;91
2021-04-22;ABEV3;0;0,050;8000;102802895;28752990;1;2021-04-22;91
2021-04-22;ABEV3;0;0,050;454000;102803239;28752993;1;2021-04-22;91
2021-04-22;ABEV3;0;0,050;200000;102803332;28752992;1;2021-04-22;91
2021-04-22;BBDC4;0;2,120;199;102806223;28752994;1;2021-04-22;92
2021-04-22;BBDC4;0;2,120;798;102806239;28752995;1;2021-04-22;92
2021-04-22;BBDC4;0;2,100;131035;102809692;28752979;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;22;102828678;28752996;1;2021-04-22;92
2021-04-22;ITUB4;0;0,150;10500;102845976;28752998;1;2021-04-22;91
2021-04-22;BBDC4;0;2,000;100;102846070;28752997;1;2021-04-22;91
2021-04-22;BBDC3;0;0,310;200;102846758;28752999;1;2021-04-22;91
2021-04-22;ALLD3;0;8,000;100;102900321;28753000;1;2021-04-22;91
2021-04-22;AMAR3;0;8,640;1792;102943450;28753001;1;2021-04-22;91
2021-04-22;LREN3;0;0,320;1000;102955263;28753002;1;2021-04-22;91
2021-04-22;AMAR3;0;8,640;224;102956201;28753007;1;2021-04-22;91
2021-04-22;LREN3;0;0,320;238;102958185;28753004;1;2021-04-22;91
